dataset,method,model,n,positive_inject,negative_clean,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,tpr_at_fpr_5,actual_fpr_at_5,threshold_at_fpr_5,tpr_at_fpr_10,actual_fpr_at_10,threshold_at_fpr_10,best_f1,best_f1_precision,best_f1_recall,best_f1_threshold,best_f1_fpr,score_mean_inject,score_mean_clean,score_file,score_key
TREC-COVID,Contriever + Cosine,Contriever,458,229,229,0.6890600865734825,0.6409574569516218,0.738210560439351,0.6640681192289757,0.6116630816158981,0.7223353859043901,0.13973799126637554,0.048034934497816595,0.626815915107727,0.22707423580786026,0.09606986899563319,0.5778416395187378,0.7099236641221374,0.6305084745762712,0.8122270742358079,0.4210317134857178,0.4759825327510917,0.5042390013886331,0.4290079094437012,/root/autodl-tmp/ragwm_storage/output/semantic_cliff/trec_contriever_cosine_scores.json,embedding_anomaly_score
TREC-COVID,DeltaLoss,distilgpt2,458,229,229,0.7797143456455826,0.7376852081386699,0.8216974790717188,0.8094132369286255,0.7752733018695338,0.846461061772758,0.45414847161572053,0.048034934497816595,-0.078125,0.48034934497816595,0.09606986899563319,-0.12890625,0.7169179229480738,0.5815217391304348,0.9344978165938864,-0.8984375,0.6724890829694323,-0.1460920442139738,-0.7429124590611353,/root/autodl-tmp/ragwm_storage/output/semantic_cliff/trec_delta_loss_scores_distilgpt2.json,delta_anomaly_score
TREC-COVID,GainRatio,distilgpt2,458,229,229,0.8018725806144048,0.7609527850346104,0.8403162601781049,0.8234481980955601,0.7885026583328084,0.8587038192626475,0.4585152838427948,0.043668122270742356,-0.01845018450184502,0.5021834061135371,0.09606986899563319,-0.032660332541567694,0.7337057728119181,0.6396103896103896,0.8602620087336245,-0.133428981348637,0.4847161572052402,-0.027595479533528807,-0.15916337503269745,/root/autodl-tmp/ragwm_storage/output/semantic_cliff/trec_delta_loss_scores_distilgpt2.json,gain_anomaly_score
TREC-COVID,DeltaLoss,gpt2-medium,458,229,229,0.8442916801739098,0.8069587727160046,0.8785694876146527,0.8770118521548758,0.848276332371591,0.9025773827651704,0.5676855895196506,0.048034934497816595,-0.15625,0.6244541484716157,0.09606986899563319,-0.22265625,0.7642276422764228,0.714828897338403,0.8209606986899564,-0.47265625,0.32751091703056767,-0.09109750272925764,-0.7931563864628821,/root/autodl-tmp/ragwm_storage/output/semantic_cliff/trec_delta_loss_scores_gpt2_medium.json,delta_anomaly_score
TREC-COVID,GainRatio,gpt2-medium,458,229,229,0.8771953242691788,0.843783490017353,0.9065390152743082,0.8994825440490688,0.8723756780515537,0.9222182322756818,0.6026200873362445,0.048034934497816595,-0.040551500405515,0.6943231441048034,0.09606986899563319,-0.060211554109031735,0.7948717948717948,0.7782426778242678,0.8122270742358079,-0.10101010101010101,0.2314410480349345,-0.01678306934237787,-0.19525684142365585,/root/autodl-tmp/ragwm_storage/output/semantic_cliff/trec_delta_loss_scores_gpt2_medium.json,gain_anomaly_score
TREC-COVID,DeltaLoss,Qwen2.5-7B,458,229,229,0.9588489922007589,0.9411090558913827,0.9739330867069659,0.9662752462404227,0.9523407274023105,0.9783579873749552,0.8384279475982532,0.048034934497816595,-0.19056105613708496,0.8995633187772926,0.08296943231441048,-0.2550477981567383,0.9082774049217003,0.9311926605504587,0.8864628820960698,-0.22473526000976562,0.06550218340611354,0.2834117881075264,-0.8084760977191175,/root/autodl-tmp/ragwm_storage/output/semantic_cliff/trec_delta_loss_scores_qwen2_5_7b.json,delta_anomaly_score
TREC-COVID,GainRatio,Qwen2.5-7B,458,229,229,0.9778989721782575,0.9653677466104766,0.9883316489006693,0.9779521269725521,0.9624713081900336,0.9892649896271021,0.9126637554585153,0.048034934497816595,-0.07501301113426943,0.9432314410480349,0.09606986899563319,-0.09263219571653812,0.9315673289183223,0.9419642857142857,0.9213973799126638,-0.0785067185634476,0.056768558951965066,0.06256180493033532,-0.24227604039001602,/root/autodl-tmp/ragwm_storage/output/semantic_cliff/trec_delta_loss_scores_qwen2_5_7b.json,gain_anomaly_score
